Learning Care Group - Official,,,,,
,,,,,
Recommendations for your workload,,,,,
Your overall results,Critical,'26/120',,,
Reliability,Critical,'18/200',,,
Security,Moderate,'38/100',,,
Cost Optimization,Critical,'13/100',,,
Operational Excellence,Moderate,'36/100',,,
Performance Efficiency,Critical,'25/101',,,
,,,,,
Next Steps,,,,,
Learn about discounts.,https://learn.microsoft.com/azure/well-architected/cost-optimization/get-best-rates#evaluate-and-commit-to-available-discounts,,,,
Learn about data classification.,https://learn.microsoft.com/azure/well-architected/security/data-classification#define-the-classification-scope,,,,
Learn about safe deployment practices.,https://learn.microsoft.com/azure/well-architected/operational-excellence/safe-deployments#key-design-strategies,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
Reliability,RE:09 - Define recovery roles and responsibilities.,https://learn.microsoft.com/azure/well-architected/reliability/disaster-recovery#maintain-a-disaster-recovery-plan,Medium,RE:09,,60,,N,
Reliability,RE:08 - Test in a production-like environment.,https://learn.microsoft.com/azure/well-architected/reliability/testing-strategy#general-testing-guidance,Medium,RE:08,,60,,N,
Reliability,RE:06 - Define a data partitioning strategy.,https://learn.microsoft.com/azure/well-architected/reliability/partition-data#key-design-strategies,Medium,RE:06,,55,,N,
Reliability,RE:05 - Use the right stores for your data.,https://learn.microsoft.com/azure/well-architected/reliability/redundancy#data-resources,Medium,RE:05,,55,,N,
Reliability,RE:10 - Use structured logging for all log messages.,https://learn.microsoft.com/azure/well-architected/reliability/monitoring-alerting-strategy#general-guidance,Medium,RE:10,,55,,N,
Reliability,RE:08 - Use failure mode analysis results to drive reliability testing.,https://learn.microsoft.com/azure/well-architected/reliability/testing-strategy#fault-injection-and-chaos-engineering-guidance,Medium,RE:08,,55,,N,
Reliability,RE:07 - Use built-in retry mechanisms.,https://learn.microsoft.com/azure/well-architected/reliability/handle-transient-faults#determine-if-theres-a-built-in-retry-mechanism,Medium,RE:07,,55,,N,
Reliability,RE:06 - Define units of scale.,https://learn.microsoft.com/azure/well-architected/reliability/scaling#key-design-strategies,Medium,RE:06,,55,,N,
Reliability,RE:08 - Learn from production issues and improve the testing strategy.,https://learn.microsoft.com/azure/well-architected/reliability/testing-strategy#unplanned-outage,Medium,RE:08,,55,,N,
Reliability,RE:01 - Use platform as a service (PaaS) options.,https://learn.microsoft.com/azure/well-architected/reliability/simplify#additional-design-recommendations,Medium,RE:01,,50,,N,
Reliability,RE:03 - Plan failure mitigation strategies.,https://learn.microsoft.com/azure/well-architected/reliability/failure-mode-analysis#mitigation,Medium,RE:03,,50,,N,
Reliability,RE:07 - Prefer asynchronous communication.,https://learn.microsoft.com/azure/well-architected/reliability/self-preservation#application-design-guidance-and-patterns,Medium,RE:07,,50,,N,
Reliability,RE:03 - Identify and document dependencies.,https://learn.microsoft.com/azure/well-architected/reliability/failure-mode-analysis#identify-dependencies,Medium,RE:03,,50,,N,
Reliability,RE:06 - Automate your scaling procedures.,https://learn.microsoft.com/azure/well-architected/reliability/scaling#azure-facilitation,Medium,RE:06,,50,,N,
Reliability,RE:03 - Update your failure mode analysis periodically.,https://learn.microsoft.com/azure/well-architected/reliability/failure-mode-analysis#outcome,Medium,RE:03,,50,,N,
Reliability,RE:03 - Decompose and document the workload.,https://learn.microsoft.com/azure/well-architected/reliability/failure-mode-analysis#decompose-the-workload,Medium,RE:03,,50,,N,
Reliability,RE:04 - Create a dashboard to visualize workload health.,https://learn.microsoft.com/azure/well-architected/reliability/metrics#visualization,Medium,RE:04,,50,,N,
Reliability,RE:05 - Keep compute layer clean of any state.,https://learn.microsoft.com/azure/well-architected/reliability/redundancy#compute-resources,Medium,RE:05,,50,,N,
Reliability,RE:03 - Document failure mode analysis results.,https://learn.microsoft.com/azure/well-architected/reliability/failure-mode-analysis#outcome,Medium,RE:03,,45,,N,
Reliability,RE:05 - Add redundancy to your network.,https://learn.microsoft.com/azure/well-architected/reliability/redundancy#networking,Medium,RE:05,,45,,N,
Reliability,RE:02 - Assign criticality ratings to each flow.,https://learn.microsoft.com/azure/well-architected/reliability/identify-flows#assign-a-criticality-rating-to-each-flow,Medium,RE:02,,45,,N,
Reliability,RE:05 - Use the Deployment Stamps design pattern.,https://learn.microsoft.com/azure/well-architected/reliability/redundancy#deployment-stamps-and-units-of-scale,Medium,RE:05,,45,,N,
Reliability,RE:08 - Learn about fault injection and chaos engineering.,https://learn.microsoft.com/azure/well-architected/reliability/testing-strategy#fault-injection-and-chaos-engineering-guidance,Medium,RE:08,,45,,N,
Reliability,RE:06 - Set limits for autoscaling.,https://learn.microsoft.com/azure/well-architected/reliability/scaling#autoscaling-considerations,Medium,RE:06,,45,,N,
Reliability,RE:08 - Monitor resulting behavior during chaos experiments.,https://learn.microsoft.com/azure/well-architected/reliability/testing-strategy#fault-injection-and-chaos-engineering-guidance,Medium,RE:08,,45,,N,
Reliability,"RE:10 - Understand the role of metrics, logs, and traces.",https://learn.microsoft.com/azure/well-architected/reliability/monitoring-alerting-strategy#general-guidance,Medium,RE:10,,45,,N,
Reliability,RE:06 - Understand the time it takes to perform scaling operations.,https://learn.microsoft.com/azure/well-architected/reliability/scaling#key-design-strategies,Medium,RE:06,,45,,N,
Reliability,"RE:10 - Design the topology of monitoring data sinks. ",https://learn.microsoft.com/azure/well-architected/reliability/monitoring-alerting-strategy#general-guidance,Medium,RE:10,,40,,N,
Reliability,RE:01 - Offload cross-cutting concerns to a separate service.,https://learn.microsoft.com/azure/well-architected/reliability/simplify#additional-design-recommendations,Medium,RE:01,,40,,N,
Reliability,RE:03 - Capture reliability data on all dependencies.,https://learn.microsoft.com/azure/well-architected/reliability/failure-mode-analysis#identify-dependencies,Medium,RE:03,,40,,N,
Reliability,RE:09 - Save failover and failback plans in a secure data store.,https://learn.microsoft.com/azure/well-architected/reliability/disaster-recovery#maintain-a-disaster-recovery-plan,Medium,RE:09,,40,,N,
Reliability,RE:10 - Visualize the real-time health of your environment.,https://learn.microsoft.com/azure/well-architected/reliability/monitoring-alerting-strategy#general-guidance,Medium,RE:10,,40,,N,
Reliability,RE:07 - Use well-defined standards for communication.,https://learn.microsoft.com/azure/well-architected/reliability/self-preservation#application-design-guidance-and-patterns,Medium,RE:07,,40,,N,
Reliability,RE:07 - Log transient and nontransient faults.,https://learn.microsoft.com/azure/well-architected/reliability/handle-transient-faults#log-and-track-transient-and-nontransient-faults,Medium,RE:07,,40,,N,
Reliability,RE:09 - Create failback plans.,https://learn.microsoft.com/azure/well-architected/reliability/disaster-recovery#maintain-a-disaster-recovery-plan,Medium,RE:09,,35,,N,
Reliability,RE:08 - Test during planned outages.,https://learn.microsoft.com/azure/well-architected/reliability/testing-strategy#planned-maintenance,Medium,RE:08,,35,,N,
Reliability,RE:09 - Use the failure modes to create recovery plans.,https://learn.microsoft.com/azure/well-architected/reliability/disaster-recovery#maintain-a-disaster-recovery-plan,Medium,RE:09,,35,,N,
Reliability,RE:09 - Automate disaster recovery procedures where practical.,https://learn.microsoft.com/azure/well-architected/reliability/disaster-recovery#maintain-a-disaster-recovery-plan,Medium,RE:09,,35,,N,
Security,SE:05 - Secure high-impact accounts.,https://learn.microsoft.com/azure/well-architected/security/identity-access#critical-impact-accounts,High,SE:05,,100,,N,
Security,SE:05 - Make conditional access choices.,https://learn.microsoft.com/azure/well-architected/security/identity-access#make-conditional-access-choices,High,SE:05,,95,,N,
Security,SE:05 - Determine actions for authorization.,https://learn.microsoft.com/azure/well-architected/security/identity-access#determine-actions-for-authorization,High,SE:05,,90,,N,
Security,SE:08 - Provide training in hardening.,https://learn.microsoft.com/azure/well-architected/security/harden-resources#key-design-strategies,High,SE:08,,90,,N,
Security,SE:10 - Record access patterns and modifications.,https://learn.microsoft.com/azure/well-architected/security/monitor-threats#identity-and-access-monitoring,High,SE:10,,90,,N,
Security,SE:03 - Understand organization-defined taxonomy.,https://learn.microsoft.com/azure/well-architected/security/data-classification#understand-organization-defined-taxonomy,High,SE:03,,90,,N,
Security,SE:03 - Define classification scope.,https://learn.microsoft.com/azure/well-architected/security/data-classification#define-the-classification-scope,High,SE:03,,80,,N,
Security,SE:11 - Use penetration testing.,https://learn.microsoft.com/azure/well-architected/security/test#tests-that-simulate-attacks-through-penetration-testing,High,SE:11,,80,,N,
Security,SE:08 - Remove or disable the use of legacy protocols.,https://learn.microsoft.com/azure/well-architected/security/harden-resources#networking,High,SE:08,,80,,N,
Security,"SE:02 - Keep software, libraries, and infrastructure components up to date.",https://learn.microsoft.com/azure/well-architected/security/secure-development-lifecycle#maintenance-phase,High,SE:02,,80,,N,
Security,SE:06 - Use network security groups.,https://learn.microsoft.com/azure/well-architected/security/networking#network-security-groups,High,SE:06,,80,,N,
Security,SE:10 - Use native tools to get deep signals from the platform.,https://learn.microsoft.com/azure/well-architected/security/monitor-threats#azure-facilitation,High,SE:10,,80,,N,
Security,SE:07 - Use identity-based access controls to control access to data.,https://learn.microsoft.com/azure/well-architected/security/identity-access#azure-rbac,High,SE:07,,80,,N,
Security,SE:08 - Disable legacy authentication methods.,https://learn.microsoft.com/azure/well-architected/security/harden-resources#identity,High,SE:08,,80,,N,
Security,SE:12 - Be able to recover from an incident.,https://learn.microsoft.com/azure/well-architected/security/incident-response#recover-from-an-incident,High,SE:12,,70,,N,
Security,SE:10 - Analyze monitoring data to detect anomalies.,https://learn.microsoft.com/azure/well-architected/security/monitor-threats#detect-abuse,High,SE:10,,70,,N,
Security,SE:10 - Have an accurate and up-to-date record of system state.,https://learn.microsoft.com/azure/well-architected/security/monitor-threats#capture-system-changes,High,SE:10,,70,,N,
Security,SE:01 - Use tools to detect drift from the baseline.,https://learn.microsoft.com/azure/well-architected/security/establish-baseline#azure-facilitation,High,SE:01,,70,,N,
Security,SE:09 - Use a secret management system.,https://learn.microsoft.com/azure/well-architected/security/application-secrets#secret-storage,High,SE:09,,70,,N,
Security,SE:06 - Secure connectivity to platform as a service (PaaS) endpoints.,https://learn.microsoft.com/azure/well-architected/security/networking#connectivity-to-platform-as-a-service-paas-services,High,SE:06,,70,,N,
Security,SE:09 - Implement tools that periodically detect exposed secrets.,https://learn.microsoft.com/azure/well-architected/security/application-secrets#prevent-hardcoding,High,SE:09,,70,,N,
Security,"SE:10 - Store, aggregate, and analyze monitoring data.",https://learn.microsoft.com/azure/well-architected/security/monitor-threats#store-aggregate-and-analyze-data,Medium,SE:10,,60,,N,
Security,SE:03 - Design architecture to match classification labels.,https://learn.microsoft.com/azure/well-architected/security/data-classification#design-according-to-classification-labels,Medium,SE:03,,60,,N,
Security,SE:02 - Harden your developer environment.,https://learn.microsoft.com/azure/well-architected/security/secure-development-lifecycle#maintenance-phase,Medium,SE:02,,60,,N,
Security,SE:12 - Involve the security operations team in incident response.,https://learn.microsoft.com/azure/well-architected/security/incident-response,Medium,SE:12,,60,,N,
Security,SE:12 - Implement a process for conducting post-incident reviews.,https://learn.microsoft.com/azure/well-architected/security/incident-response#learn-from-an-incident,Medium,SE:12,,60,,N,
Security,SE:07 - Manage the lifecycle of certificates.,https://learn.microsoft.com/azure/well-architected/security/encryption#data-in-transit,Medium,SE:07,,60,,N,
Security,SE:07 - Understand encryption key security.,https://learn.microsoft.com/azure/well-architected/security/encryption#encryption-keys,Medium,SE:07,,60,,N,
Security,SE:09 - Distribute secrets in a safe manner.,https://learn.microsoft.com/azure/well-architected/security/application-secrets#safe-practices-for-using-secrets,Medium,SE:09,,50,,N,
Security,SE:02 - Record golden images released in production.,https://learn.microsoft.com/azure/well-architected/security/secure-development-lifecycle#keep-versioned-artifacts,Medium,SE:02,,50,,N,
Security,SE:01 - Evaluate regulatory compliance requirements.,https://learn.microsoft.com/azure/well-architected/security/establish-baseline#regulatory-compliance,Medium,SE:01,,50,,N,
Security,SE:02 - Gather and analyze functional and non-functional requirements.,https://learn.microsoft.com/azure/well-architected/security/secure-development-lifecycle#requirements-phase,Medium,SE:02,,50,,N,
Security,SE:01 - Evaluate the baseline regularly.,https://learn.microsoft.com/azure/well-architected/security/establish-baseline#evaluate-the-baseline-regularly,Medium,SE:01,,40,,N,
Security,SE:08 - Document hardening requirements.,https://learn.microsoft.com/azure/well-architected/security/harden-resources#key-design-strategies,Medium,SE:08,,40,,N,
Security,"SE:02 - List approved, frameworks, libraries, and vendors.",https://learn.microsoft.com/azure/well-architected/security/secure-development-lifecycle#design-phase,Medium,SE:02,,40,,N,
Security,SE:02 - Learn about the Microsoft Threat Modeling Tool and the STRIDE model.,https://learn.microsoft.com/azure/well-architected/security/threat-model,Medium,SE:02,,40,,N,
Security,SE:07 - Use double encryption.,https://learn.microsoft.com/azure/well-architected/security/encryption#data-at-rest,Medium,SE:07,,40,,N,
Security,SE:07 - Use hashing.,https://learn.microsoft.com/azure/well-architected/security/encryption#hashes-and-checksums,Medium,SE:07,,40,,N,
Security,SE:11 - Run structured and repeatable tests.,https://learn.microsoft.com/azure/well-architected/security/test#key-design-strategies,Medium,SE:11,,40,,N,
Security,SE:03 - Apply taxonomy for querying.,https://learn.microsoft.com/azure/well-architected/security/data-classification#apply-taxonomy-for-querying,Medium,SE:03,,40,,N,
Security,SE:07 - Use secure protocols for client-server communication.,https://learn.microsoft.com/azure/well-architected/security/encryption#data-in-transit,Low,SE:07,,30,,N,
Security,SE:07 - Use standard encryption algorithms.,https://learn.microsoft.com/azure/well-architected/security/encryption#standard-encryption-algorithms,Low,SE:07,,30,,N,
Security,SE:09 - Understand the secret rotation plan and policies.,https://learn.microsoft.com/azure/well-architected/security/application-secrets#respond-to-secret-rotation,Low,SE:09,,30,,N,
Security,SE:07 - Store keys separate from encrypted data.,https://learn.microsoft.com/azure/well-architected/security/encryption#encryption-keys,Low,SE:07,,30,,N,
Security,SE:04 - Create segmentation in team structure.,https://learn.microsoft.com/azure/well-architected/security/segmentation#roles-and-responsibilities,Low,SE:04,,30,,N,
Security,SE:03 - Use a standard for applying metadata.,https://learn.microsoft.com/azure/well-architected/security/data-classification#apply-taxonomy-for-querying,Low,SE:03,,30,,N,
Security,SE:01 - Include incident response processes in the baseline.,https://learn.microsoft.com/azure/well-architected/security/establish-baseline#operations,Low,SE:01,,30,,N,
Security,SE:07 - Use native encryption capabilities.,https://learn.microsoft.com/azure/well-architected/security/encryption#native-encryption-mechanisms,Low,SE:07,,20,,N,
Security,SE:09 - Rotate and retire secrets.,https://learn.microsoft.com/azure/well-architected/security/application-secrets#secret-rotation,Low,SE:09,,20,,N,
Security,SE:12 - Assign an incident notification point of contact.,https://learn.microsoft.com/azure/well-architected/security/incident-response#assign-incident-notification,Low,SE:12,,10,,N,
Cost Optimization,CO:01 - Communicate financial expectations.,https://learn.microsoft.com/azure/well-architected/cost-optimization/create-culture-financial-responsibility#communicate-financial-expectations,High,CO:01,,85,,N,
Cost Optimization,CO:07 - Cost optimize workload resources.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-component-costs#optimize-workload-resources,High,CO:07,,80,,N,
Cost Optimization,CO:07 - Avoid introducing unoptimized components.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-component-costs#avoid-introducing-unoptimized-components,High,CO:07,,80,,N,
Cost Optimization,CO:04 - Configure access controls to manage access.,https://learn.microsoft.com/azure/well-architected/cost-optimization/set-spending-guardrails#configure-access-controls,High,CO:04,,80,,N,
Cost Optimization,CO:07 - Cost optimize platform features.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-component-costs#optimize-platform-features,High,CO:07,,80,,N,
Cost Optimization,CO:10 - Optimize data volume.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-data-costs#optimize-data-volume,High,CO:10,,80,,N,
Cost Optimization,CO:07 - Cost optimize application features.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-component-costs#optimize-application-features,High,CO:07,,80,,N,
Cost Optimization,CO:02 - Maintain the cost model.,https://learn.microsoft.com/azure/well-architected/cost-optimization/cost-model#maintain-the-cost-model,High,CO:02,,75,,N,
Cost Optimization,CO:03 - Regularly review cost data with stakeholders.,https://learn.microsoft.com/azure/well-architected/cost-optimization/collect-review-cost-data#review-cost-data,High,CO:03,,75,,N,
Cost Optimization,CO:02 - Set a budget based on the cost model.,https://learn.microsoft.com/azure/well-architected/cost-optimization/cost-model#set-a-budget,High,CO:02,,75,,N,
Cost Optimization,CO:10 - Optimize data replication.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-data-costs#optimize-data-replication,High,CO:10,,75,,N,
Cost Optimization,CO:01 - Develop personnel skills in-house.,https://learn.microsoft.com/azure/well-architected/cost-optimization/create-culture-financial-responsibility#develop-skills-in-house,High,CO:01,,70,,N,
Cost Optimization,CO:14 - Offload responsibilities to external teams.,https://learn.microsoft.com/azure/well-architected/cost-optimization/consolidation#offload-responsibilities-to-external-teams,High,CO:14,,70,,N,
Cost Optimization,CO:03 - Automate cost alerts.,https://learn.microsoft.com/azure/well-architected/cost-optimization/collect-review-cost-data#automate-cost-alerts,High,CO:03,,70,,N,
Cost Optimization,CO:10 - Take an inventory of data.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-data-costs#take-an-inventory-of-data,High,CO:10,,70,,N,
Cost Optimization,CO:10 - Define data priority levels.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-data-costs#prioritize-data,High,CO:10,,70,,N,
Cost Optimization,CO:06 - Consider building a proof-of-concept to understand billing increments.,https://learn.microsoft.com/azure/well-architected/cost-optimization/align-usage-to-billing-increments#consider-building-a-proof-of-concept-poc,Medium,CO:06,,65,,N,
Cost Optimization,CO:08 - Cost optimize preproduction environments.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-environment-costs#optimize-preproduction-environments,Medium,CO:08,,65,,N,
Cost Optimization,CO:04 - Use governance policies to control resource spending.,https://learn.microsoft.com/azure/well-architected/cost-optimization/set-spending-guardrails#use-governance-policies,Medium,CO:04,,65,,N,
Cost Optimization,CO:13 - Optimize operational tasks.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-personnel-time#optimize-operational-tasks,Medium,CO:13,,65,,N,
Cost Optimization,CO:09 - Separate dissimilar flows to run on different resources.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-flow-costs#separate-dissimilar-flows,Medium,CO:09,,65,,N,
Cost Optimization,CO:13 - Optimize development time.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-personnel-time#optimize-development-time,Medium,CO:13,,65,,N,
Cost Optimization,CO:02 - Associate costs with business metrics.,https://learn.microsoft.com/azure/well-architected/cost-optimization/cost-model#associate-costs-with-business-metrics,Medium,CO:02,,65,,N,
Cost Optimization,CO:06 - Determine billing factors.,https://learn.microsoft.com/azure/well-architected/cost-optimization/align-usage-to-billing-increments#determine-billing-factors,Medium,CO:06,,65,,N,
Cost Optimization,CO:09 - Create an inventory of flows within the workload.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-flow-costs#create-an-inventory-of-flows,Medium,CO:09,,60,,N,
Cost Optimization,CO:08 - Assess the value for each environment.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-environment-costs#assess-environment-value,Medium,CO:08,,60,,N,
Cost Optimization,CO:08 - Cost optimize the disaster recovery environment.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-environment-costs#optimize-the-dr-environment,Medium,CO:08,,60,,N,
Cost Optimization,CO:06 - Map usage to billing increments.,https://learn.microsoft.com/azure/well-architected/cost-optimization/align-usage-to-billing-increments#map-usage-to-billing-increments,Medium,CO:06,,60,,N,
Cost Optimization,CO:02 - Align workload estimates to cost drivers.,https://learn.microsoft.com/azure/well-architected/cost-optimization/cost-model#align-estimates-to-cost-drivers,Medium,CO:02,,60,,N,
Cost Optimization,CO:03 - Collect and centralize cost data.,https://learn.microsoft.com/azure/well-architected/cost-optimization/collect-review-cost-data#collect-cost-data,Medium,CO:03,,60,,N,
Cost Optimization,CO:12 - Control supply manually or with platform features.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-scaling-costs#control-supply,Medium,CO:12,,55,,N,
Cost Optimization,CO:12 - Evaluate scale-out versus scale-up costs.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-scaling-costs#evaluate-scale-out-versus-scale-up,Medium,CO:12,,55,,N,
Cost Optimization,CO:04 - Use release gates for deployments.,https://learn.microsoft.com/azure/well-architected/cost-optimization/set-spending-guardrails#use-release-gates,Medium,CO:04,,55,,N,
Cost Optimization,CO:13 - Define targets for personnel time optimization efforts.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-personnel-time#set-optimization-targets,Medium,CO:13,,55,,N,
Cost Optimization,CO:08 - Cost optimize the production environments for the workload.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-environment-costs#optimize-the-production-environment,Medium,CO:08,,55,,N,
Cost Optimization,CO:13 - Optimize processes to streamline tasks.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-personnel-time#optimize-processes,Medium,CO:13,,55,,N,
Cost Optimization,CO:13 - Optimize personnel collaboration.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-personnel-time#optimize-personnel-collaboration,Medium,CO:13,,55,,N,
Cost Optimization,CO:14 - Consolidate workload resources.,https://learn.microsoft.com/azure/well-architected/cost-optimization/consolidation#consolidate-resources,Medium,CO:14,,55,,N,
Cost Optimization,CO:11 - Evaluate the software development kits chosen for the workload.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-code-costs#use-the-right-sdks,Medium,CO:11,,50,,N,
Cost Optimization,CO:12 - Reduce demand using code-level design patterns.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-scaling-costs#reduce-demand,Medium,CO:12,,50,,N,
Cost Optimization,CO:11 - Optimize the workload architecture.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-code-costs#optimize-architecture,Medium,CO:11,,50,,N,
Cost Optimization,CO:11 - Evaluate the use of concurrency.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-code-costs#evaluate-the-use-of-concurrency,Medium,CO:11,,50,,N,
Cost Optimization,CO:11 - Identify and optimize hot paths.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-code-costs#identify-and-optimize-hot-paths,Medium,CO:11,,50,,N,
Cost Optimization,"CO:14 - Use external, centralized resources.",https://learn.microsoft.com/azure/well-architected/cost-optimization/consolidation#use-external-centralized-resources,Medium,CO:14,,50,,N,
Cost Optimization,CO:05 - Determine the right billing model.,https://learn.microsoft.com/azure/well-architected/cost-optimization/get-best-rates#determine-the-right-billing-model,Medium,CO:05,,50,,N,
Cost Optimization,CO:04 - Configure cost alerts to monitor usage and spending.,https://learn.microsoft.com/azure/well-architected/cost-optimization/set-spending-guardrails#configure-cost-alerts,Medium,CO:04,,50,,N,
Cost Optimization,CO:05 - Create an ordered list of expenses.,https://learn.microsoft.com/azure/well-architected/cost-optimization/get-best-rates#create-an-ordered-list-of-expenses,Medium,CO:05,,45,,N,
Cost Optimization,CO:06 - Align usage patterns to align with billing increments.,https://learn.microsoft.com/azure/well-architected/cost-optimization/align-usage-to-billing-increments#align-usage-to-maximize-resource-value,Medium,CO:06,,45,,N,
Cost Optimization,CO:03 - Generate cost reports.,https://learn.microsoft.com/azure/well-architected/cost-optimization/collect-review-cost-data#generate-cost-reports,Medium,CO:03,,45,,N,
Cost Optimization,CO:01 - Encourage continuous learning.,https://learn.microsoft.com/azure/well-architected/cost-optimization/create-culture-financial-responsibility#develop-skills-in-house,Medium,CO:01,,45,,N,
